,Unnamed: 0,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage
12,12,A3,A3-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A3-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,7,A3-e003Coalescence-mBHI-p7,AA-AC/PP-mBHI-mBHI,False,1,A3-AA-AC/PP-mBHI-mBHI7
13,13,B9,B9-mGAM,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,False,mGAM,B9-AC/PP-AC/PP-mGAM-mGAM,mGAM,AC/PP-AC/PP,5,B9-e003Coalescence-mGAM-p5,AC/PP-AC/PP-mGAM-mGAM,False,1,B9-AC/PP-AC/PP-mGAM-mGAM5
14,14,B3,B3-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,False,mBHI,B3-AC/PP-AC/PP-mBHI-mBHI,mBHI,AC/PP-AC/PP,3,B3-e003Coalescence-mBHI-p3,AC/PP-AC/PP-mBHI-mBHI,False,1,B3-AC/PP-AC/PP-mBHI-mBHI3
15,15,D4,D4-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mBHI,D4-AE-AF-mBHI-mBHI,mBHI,AE-AF,5,D4-e003Coalescence-mBHI-p5,AE-AF-mBHI-mBHI,False,1,D4-AE-AF-mBHI-mBHI5
16,16,C2,C2-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C2-AA-AE-mBHI-mBHI,mBHI,AA-AE,5,C2-e003Coalescence-mBHI-p5,AA-AE-mBHI-mBHI,False,1,C2-AA-AE-mBHI-mBHI5
17,17,D4,D4-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mBHI,D4-AE-AF-mBHI-mBHI,mBHI,AE-AF,3,D4-e003Coalescence-mBHI-p3,AE-AF-mBHI-mBHI,False,1,D4-AE-AF-mBHI-mBHI3
18,18,B2,B2-mBHI,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,False,mBHI,B2-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,5,B2-e003Coalescence-mBHI-p5,AA-AC/PP-mBHI-mBHI,False,1,B2-AA-AC/PP-mBHI-mBHI5
19,19,C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,7,C4-e003Coalescence-mGAM-p7,AE-AE-mBHI-mGAM,False,1,C4-AE-AE-mBHI-mGAM7
21,21,C3,C3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,3,C3-e003Coalescence-mGAM-p3,AC/PP-AE-mBHI-mGAM,False,1,C3-AC/PP-AE-mBHI-mGAM3
22,22,C3,C3-mBHI,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C3-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,7,C3-e003Coalescence-mBHI-p7,AC/PP-AE-mBHI-mBHI,False,1,C3-AC/PP-AE-mBHI-mBHI7
23,23,D11,D11-mGAM,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mGAM,D11-AF-AF-mGAM-mGAM,mGAM,AF-AF,5,D11-e003Coalescence-mGAM-p5,AF-AF-mGAM-mGAM,False,1,D11-AF-AF-mGAM-mGAM5
24,24,A11,A11-mGAM,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mGAM,A11-AA-AF-mGAM-mGAM,mGAM,AA-AF,7,A11-e003Coalescence-mGAM-p7,AA-AF-mGAM-mGAM,False,1,A11-AA-AF-mGAM-mGAM7
26,26,B8,B8-mBHI,AA-AC/PP-mGAM,B2-e003Coalescence-Inoculumn-mGAM,False,mBHI,B8-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,5,B8-e003Coalescence-mBHI-p5,AA-AC/PP-mGAM-mBHI,False,1,B8-AA-AC/PP-mGAM-mBHI5
27,27,C2,C2-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C2-AA-AE-mBHI-mGAM,mBHI,AA-AE,7,C2-e003Coalescence-mGAM-p7,AA-AE-mBHI-mGAM,False,1,C2-AA-AE-mBHI-mGAM7
28,28,D3,D3-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mBHI,D3-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,5,D3-e003Coalescence-mBHI-p5,AC/PP-AF-mBHI-mBHI,False,1,D3-AC/PP-AF-mBHI-mBHI5
29,29,B11,B11-mGAM,AC/PP-AF-mGAM,B5-e003Coalescence-Inoculumn-mGAM,False,mGAM,B11-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,3,B11-e003Coalescence-mGAM-p3,AC/PP-AF-mGAM-mGAM,False,1,B11-AC/PP-AF-mGAM-mGAM3
30,30,D2,D2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,D2-AA-AF-mBHI-mBHI,mBHI,AA-AF,5,D2-e003Coalescence-mBHI-p5,AA-AF-mBHI-mBHI,False,1,D2-AA-AF-mBHI-mBHI5
32,32,D5,D5-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mGAM,D5-AF-AF-mBHI-mGAM,mBHI,AF-AF,5,D5-e003Coalescence-mGAM-p5,AF-AF-mBHI-mGAM,False,1,D5-AF-AF-mBHI-mGAM5
33,33,B5,B5-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mBHI,B5-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,5,B5-e003Coalescence-mBHI-p5,AC/PP-AF-mBHI-mBHI,False,1,B5-AC/PP-AF-mBHI-mBHI5
34,34,D5,D5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,D5-AF-AF-mBHI-mBHI,mBHI,AF-AF,7,D5-e003Coalescence-mBHI-p7,AF-AF-mBHI-mBHI,False,1,D5-AF-AF-mBHI-mBHI7
35,35,C9,C9-mBHI,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,False,mBHI,C9-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,5,C9-e003Coalescence-mBHI-p5,AC/PP-AE-mGAM-mBHI,False,1,C9-AC/PP-AE-mGAM-mBHI5
36,36,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,3,A10-e003Coalescence-mBHI-p3,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI3
37,37,A5,A5-mGAM,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mGAM,A5-AA-AF-mBHI-mGAM,mBHI,AA-AF,3,A5-e003Coalescence-mGAM-p3,AA-AF-mBHI-mGAM,False,1,A5-AA-AF-mBHI-mGAM3
38,38,D8,D8-mGAM,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mGAM,D8-AA-AF-mGAM-mGAM,mGAM,AA-AF,5,D8-e003Coalescence-mGAM-p5,AA-AF-mGAM-mGAM,False,1,D8-AA-AF-mGAM-mGAM5
39,39,C2,C2-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C2-AA-AE-mBHI-mBHI,mBHI,AA-AE,3,C2-e003Coalescence-mBHI-p3,AA-AE-mBHI-mBHI,False,1,C2-AA-AE-mBHI-mBHI3
40,40,D9,D9-mGAM,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mGAM,D9-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,7,D9-e003Coalescence-mGAM-p7,AC/PP-AF-mGAM-mGAM,False,1,D9-AC/PP-AF-mGAM-mGAM7
41,41,D4,D4-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mBHI,D4-AE-AF-mBHI-mBHI,mBHI,AE-AF,7,D4-e003Coalescence-mBHI-p7,AE-AF-mBHI-mBHI,False,1,D4-AE-AF-mBHI-mBHI7
42,42,B10,B10-mGAM,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,False,mGAM,B10-AC/PP-AE-mGAM-mGAM,mGAM,AC/PP-AE,3,B10-e003Coalescence-mGAM-p3,AC/PP-AE-mGAM-mGAM,False,1,B10-AC/PP-AE-mGAM-mGAM3
43,43,A9,A9-mGAM,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mGAM,A9-AA-AC/PP-mGAM-mGAM,mGAM,AA-AC/PP,7,A9-e003Coalescence-mGAM-p7,AA-AC/PP-mGAM-mGAM,False,1,A9-AA-AC/PP-mGAM-mGAM7
44,44,D10,D10-mBHI,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mBHI,D10-AE-AF-mGAM-mBHI,mGAM,AE-AF,5,D10-e003Coalescence-mBHI-p5,AE-AF-mGAM-mBHI,False,1,D10-AE-AF-mGAM-mBHI5
45,45,D5,D5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,D5-AF-AF-mBHI-mBHI,mBHI,AF-AF,3,D5-e003Coalescence-mBHI-p3,AF-AF-mBHI-mBHI,False,1,D5-AF-AF-mBHI-mBHI3
47,47,C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,3,C5-e003Coalescence-mBHI-p3,AE-AF-mBHI-mBHI,False,1,C5-AE-AF-mBHI-mBHI3
48,48,D9,D9-mGAM,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mGAM,D9-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,5,D9-e003Coalescence-mGAM-p5,AC/PP-AF-mGAM-mGAM,False,1,D9-AC/PP-AF-mGAM-mGAM5
49,49,C9,C9-mBHI,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,False,mBHI,C9-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,3,C9-e003Coalescence-mBHI-p3,AC/PP-AE-mGAM-mBHI,False,1,C9-AC/PP-AE-mGAM-mBHI3
50,50,D10,D10-mGAM,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mGAM,D10-AE-AF-mGAM-mGAM,mGAM,AE-AF,5,D10-e003Coalescence-mGAM-p5,AE-AF-mGAM-mGAM,False,1,D10-AE-AF-mGAM-mGAM5
51,51,C8,C8-mBHI,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mBHI,C8-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,C8-e003Coalescence-mBHI-p7,AA-AE-mGAM-mBHI,False,1,C8-AA-AE-mGAM-mBHI7
53,53,B4,B4-mGAM,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,False,mGAM,B4-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,5,B4-e003Coalescence-mGAM-p5,AC/PP-AE-mBHI-mGAM,False,1,B4-AC/PP-AE-mBHI-mGAM5
54,54,D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,5,D4-e003Coalescence-mGAM-p5,AE-AF-mBHI-mGAM,False,1,D4-AE-AF-mBHI-mGAM5
55,55,B5,B5-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mGAM,B5-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,5,B5-e003Coalescence-mGAM-p5,AC/PP-AF-mBHI-mGAM,False,1,B5-AC/PP-AF-mBHI-mGAM5
56,56,C2,C2-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C2-AA-AE-mBHI-mGAM,mBHI,AA-AE,3,C2-e003Coalescence-mGAM-p3,AA-AE-mBHI-mGAM,False,1,C2-AA-AE-mBHI-mGAM3
57,57,B5,B5-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mGAM,B5-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,7,B5-e003Coalescence-mGAM-p7,AC/PP-AF-mBHI-mGAM,False,1,B5-AC/PP-AF-mBHI-mGAM7
58,58,D8,D8-mBHI,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mBHI,D8-AA-AF-mGAM-mBHI,mGAM,AA-AF,5,D8-e003Coalescence-mBHI-p5,AA-AF-mGAM-mBHI,False,1,D8-AA-AF-mGAM-mBHI5
60,60,B10,B10-mBHI,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,False,mBHI,B10-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,5,B10-e003Coalescence-mBHI-p5,AC/PP-AE-mGAM-mBHI,False,1,B10-AC/PP-AE-mGAM-mBHI5
62,62,B5,B5-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mBHI,B5-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,3,B5-e003Coalescence-mBHI-p3,AC/PP-AF-mBHI-mBHI,False,1,B5-AC/PP-AF-mBHI-mBHI3
63,63,C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,5,C4-e003Coalescence-mGAM-p5,AE-AE-mBHI-mGAM,False,1,C4-AE-AE-mBHI-mGAM5
64,64,C5,C5-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C5-AE-AF-mBHI-mGAM,mBHI,AE-AF,7,C5-e003Coalescence-mGAM-p7,AE-AF-mBHI-mGAM,False,1,C5-AE-AF-mBHI-mGAM7
65,65,A2,A2-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A2-AA-AA-mBHI-mBHI,mBHI,AA-AA,7,A2-e003Coalescence-mBHI-p7,AA-AA-mBHI-mBHI,False,1,A2-AA-AA-mBHI-mBHI7
66,66,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,5,A10-e003Coalescence-mBHI-p5,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI5
67,67,D2,D2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,D2-AA-AF-mBHI-mBHI,mBHI,AA-AF,7,D2-e003Coalescence-mBHI-p7,AA-AF-mBHI-mBHI,False,1,D2-AA-AF-mBHI-mBHI7
70,70,D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,7,D4-e003Coalescence-mGAM-p7,AE-AF-mBHI-mGAM,False,1,D4-AE-AF-mBHI-mGAM7
71,71,A8,A8-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mBHI,A8-AA-AA-mGAM-mBHI,mGAM,AA-AA,7,A8-e003Coalescence-mBHI-p7,AA-AA-mGAM-mBHI,False,1,A8-AA-AA-mGAM-mBHI7
72,72,C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,3,C4-e003Coalescence-mGAM-p3,AE-AE-mBHI-mGAM,False,1,C4-AE-AE-mBHI-mGAM3
73,73,D5,D5-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mGAM,D5-AF-AF-mBHI-mGAM,mBHI,AF-AF,7,D5-e003Coalescence-mGAM-p7,AF-AF-mBHI-mGAM,False,1,D5-AF-AF-mBHI-mGAM7
74,74,C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,5,C5-e003Coalescence-mBHI-p5,AE-AF-mBHI-mBHI,False,1,C5-AE-AF-mBHI-mBHI5
75,75,C5,C5-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C5-AE-AF-mBHI-mGAM,mBHI,AE-AF,3,C5-e003Coalescence-mGAM-p3,AE-AF-mBHI-mGAM,False,1,C5-AE-AF-mBHI-mGAM3
76,76,A11,A11-mBHI,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mBHI,A11-AA-AF-mGAM-mBHI,mGAM,AA-AF,7,A11-e003Coalescence-mBHI-p7,AA-AF-mGAM-mBHI,False,1,A11-AA-AF-mGAM-mBHI7
78,78,C3,C3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,5,C3-e003Coalescence-mGAM-p5,AC/PP-AE-mBHI-mGAM,False,1,C3-AC/PP-AE-mBHI-mGAM5
79,79,A10,A10-mGAM,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mGAM,A10-AA-AE-mGAM-mGAM,mGAM,AA-AE,3,A10-e003Coalescence-mGAM-p3,AA-AE-mGAM-mGAM,False,1,A10-AA-AE-mGAM-mGAM3
80,80,A9,A9-mBHI,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mBHI,A9-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,3,A9-e003Coalescence-mBHI-p3,AA-AC/PP-mGAM-mBHI,False,1,A9-AA-AC/PP-mGAM-mBHI3
81,81,D3,D3-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mBHI,D3-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,7,D3-e003Coalescence-mBHI-p7,AC/PP-AF-mBHI-mBHI,False,1,D3-AC/PP-AF-mBHI-mBHI7
83,83,C3,C3-mBHI,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C3-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,5,C3-e003Coalescence-mBHI-p5,AC/PP-AE-mBHI-mBHI,False,1,C3-AC/PP-AE-mBHI-mBHI5
84,84,A9,A9-mBHI,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mBHI,A9-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,5,A9-e003Coalescence-mBHI-p5,AA-AC/PP-mGAM-mBHI,False,1,A9-AA-AC/PP-mGAM-mBHI5
85,85,B2,B2-mGAM,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,False,mGAM,B2-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,3,B2-e003Coalescence-mGAM-p3,AA-AC/PP-mBHI-mGAM,False,1,B2-AA-AC/PP-mBHI-mGAM3
86,86,C11,C11-mGAM,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mGAM,C11-AE-AF-mGAM-mGAM,mGAM,AE-AF,5,C11-e003Coalescence-mGAM-p5,AE-AF-mGAM-mGAM,False,1,C11-AE-AF-mGAM-mGAM5
87,87,A8,A8-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mBHI,A8-AA-AA-mGAM-mBHI,mGAM,AA-AA,5,A8-e003Coalescence-mBHI-p5,AA-AA-mGAM-mBHI,False,1,A8-AA-AA-mGAM-mBHI5
88,88,D9,D9-mBHI,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mBHI,D9-AC/PP-AF-mGAM-mBHI,mGAM,AC/PP-AF,3,D9-e003Coalescence-mBHI-p3,AC/PP-AF-mGAM-mBHI,False,1,D9-AC/PP-AF-mGAM-mBHI3
90,90,A5,A5-mBHI,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mBHI,A5-AA-AF-mBHI-mBHI,mBHI,AA-AF,7,A5-e003Coalescence-mBHI-p7,AA-AF-mBHI-mBHI,False,1,A5-AA-AF-mBHI-mBHI7
91,91,D2,D2-mGAM,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mGAM,D2-AA-AF-mBHI-mGAM,mBHI,AA-AF,5,D2-e003Coalescence-mGAM-p5,AA-AF-mBHI-mGAM,False,1,D2-AA-AF-mBHI-mGAM5
92,92,D3,D3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,D3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,3,D3-e003Coalescence-mGAM-p3,AC/PP-AF-mBHI-mGAM,False,1,D3-AC/PP-AF-mBHI-mGAM3
93,93,D9,D9-mGAM,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mGAM,D9-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,3,D9-e003Coalescence-mGAM-p3,AC/PP-AF-mGAM-mGAM,False,1,D9-AC/PP-AF-mGAM-mGAM3
94,94,D3,D3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,D3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,5,D3-e003Coalescence-mGAM-p5,AC/PP-AF-mBHI-mGAM,False,1,D3-AC/PP-AF-mBHI-mGAM5
95,95,C10,C10-mGAM,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mGAM,C10-AE-AE-mGAM-mGAM,mGAM,AE-AE,3,C10-e003Coalescence-mGAM-p3,AE-AE-mGAM-mGAM,False,1,C10-AE-AE-mGAM-mGAM3
96,96,B9,B9-mGAM,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,False,mGAM,B9-AC/PP-AC/PP-mGAM-mGAM,mGAM,AC/PP-AC/PP,7,B9-e003Coalescence-mGAM-p7,AC/PP-AC/PP-mGAM-mGAM,False,1,B9-AC/PP-AC/PP-mGAM-mGAM7
97,97,B11,B11-mGAM,AC/PP-AF-mGAM,B5-e003Coalescence-Inoculumn-mGAM,False,mGAM,B11-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,7,B11-e003Coalescence-mGAM-p7,AC/PP-AF-mGAM-mGAM,False,1,B11-AC/PP-AF-mGAM-mGAM7
98,98,B5,B5-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mBHI,B5-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,7,B5-e003Coalescence-mBHI-p7,AC/PP-AF-mBHI-mBHI,False,1,B5-AC/PP-AF-mBHI-mBHI7
99,99,A3,A3-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A3-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,7,A3-e003Coalescence-mGAM-p7,AA-AC/PP-mBHI-mGAM,False,1,A3-AA-AC/PP-mBHI-mGAM7
100,100,A4,A4-mBHI,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A4-AA-AE-mBHI-mBHI,mBHI,AA-AE,5,A4-e003Coalescence-mBHI-p5,AA-AE-mBHI-mBHI,False,1,A4-AA-AE-mBHI-mBHI5
101,101,B3,B3-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,False,mBHI,B3-AC/PP-AC/PP-mBHI-mBHI,mBHI,AC/PP-AC/PP,7,B3-e003Coalescence-mBHI-p7,AC/PP-AC/PP-mBHI-mBHI,False,1,B3-AC/PP-AC/PP-mBHI-mBHI7
102,102,D10,D10-mGAM,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mGAM,D10-AE-AF-mGAM-mGAM,mGAM,AE-AF,7,D10-e003Coalescence-mGAM-p7,AE-AF-mGAM-mGAM,False,1,D10-AE-AF-mGAM-mGAM7
