,sample,exp_type,media,passage,comm,subject,mesocosm,type_mesocosm
42,D2-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,D2,AA,D2-AA-mBHI,AA-mBHI
43,D3-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,D3,AC/PP,D3-AC/PP-mBHI,AC/PP-mBHI
44,D3-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,D3,AC/PP,D3-AC/PP-mBHI,AC/PP-mBHI
45,D5-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,D5,AF,D5-AF-mBHI,AF-mBHI
46,D8-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,D8,AA,D8-AA-mGAM,AA-mGAM
47,D8-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,D8,AA,D8-AA-mGAM,AA-mGAM
48,D9-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,D9,AC/PP,D9-AC/PP-mGAM,AC/PP-mGAM
49,e003-inoculumn-fecal-AC,inoculumn,fecal,0,fecal,AC/PP,fecal-AC/PP-fecal,AC/PP-fecal
50,e003-inoculumn-fecal-AE,inoculumn,fecal,0,fecal,AE,fecal-AE-fecal,AE-fecal
51,e003-inoculumn-fecal-AF,inoculumn,fecal,0,fecal,AF,fecal-AF-fecal,AF-fecal
52,e003-inoculumn-fecal-inoculumn,inoculumn,fecal,0,fecal,AA,fecal-AA-fecal,AA-fecal
2,Assembly-G12-fecal-AA-fecal-0_S703,e003Assembly,fecal,0,fecal,AA,fecal-AA-fecal,AA-fecal
21,Assembly-G7-C3-ACPP-mBHI-3_S698,e003Assembly,mBHI,3,C3,AC/PP,C3-AC/PP-mBHI,AC/PP-mBHI
59,Assembly-G9-C9-ACPP-mGAM-3_S700,e003Assembly,mGAM,3,C9,AC/PP,C9-AC/PP-mGAM,AC/PP-mGAM
94,Assembly-G2-B3-ACPP-mBHI-3_S693,e003Assembly,mBHI,3,B3,AC/PP,B3-AC/PP-mBHI,AC/PP-mBHI
102,Assembly-G11-D9-ACPP-mGAM-3_S702,e003Assembly,mGAM,3,D9,AC/PP,D9-AC/PP-mGAM,AC/PP-mGAM
112,Assembly-G10-D5-AF-mBHI-3_S701,e003Assembly,mBHI,3,D5,AF,D5-AF-mBHI,AF-mBHI
143,Assembly-G4-B9-ACPP-mGAM-3_S695,e003Assembly,mGAM,3,B9,AC/PP,B9-AC/PP-mGAM,AC/PP-mGAM
163,Assembly-G5-C10-AE-mGAM-5_S696,e003Assembly,mGAM,5,C10,AE,C10-AE-mGAM,AE-mGAM
174,Assembly-G8-C4-AE-mBHI-3_S699,e003Assembly,mBHI,3,C4,AE,C4-AE-mBHI,AE-mBHI
212,Assembly-G3-B5-AF-mBHI-3_S694,e003Assembly,mBHI,3,B5,AF,B5-AF-mBHI,AF-mBHI
219,Assembly-G6-C2-AA-mBHI-3_S697,e003Assembly,mBHI,3,C2,AA,C2-AA-mBHI,AA-mBHI
