species_id	median_abundance	mean_abundance	median_coverage	mean_coverage	sample_counts
104231	0.000	0.000	0.000	0.000	0
104227	0.000	0.000	0.000	0.000	0
104223	0.000	0.000	0.000	0.000	0
104222	0.000	0.000	0.000	0.001	0
104221	0.000	0.000	0.000	0.000	0
104220	0.000	0.000	0.000	0.000	0
104209	0.000	0.000	0.000	0.000	0
104207	0.000	0.000	0.000	0.007	1
104196	0.000	0.000	0.000	0.087	4
104191	0.000	0.000	0.000	0.003	1
104186	0.000	0.000	0.000	0.000	0
104181	0.000	0.000	0.000	0.000	0
104180	0.000	0.000	0.000	0.000	0
104178	0.000	0.000	0.000	0.000	0
104172	0.000	0.000	0.000	0.014	1
104171	0.000	0.000	0.000	0.006	1
104165	0.000	0.000	0.000	0.000	0
104163	0.000	0.000	0.000	0.009	2
104162	0.000	0.000	0.000	0.001	0
104161	0.000	0.000	0.000	0.000	0
104158	0.000	0.001	0.000	0.152	9
104157	0.000	0.000	0.000	0.001	0
104156	0.000	0.000	0.000	0.000	0
104153	0.000	0.000	0.000	0.003	0
104152	0.000	0.000	0.000	0.000	0
104148	0.000	0.000	0.000	0.000	0
104147	0.000	0.000	0.000	0.001	0
104145	0.000	0.000	0.000	0.002	1
104141	0.000	0.000	0.000	0.000	0
104140	0.000	0.000	0.000	0.011	1
104138	0.000	0.000	0.000	0.008	1
104137	0.000	0.000	0.000	0.023	1
104136	0.000	0.000	0.000	0.000	0
104132	0.000	0.000	0.000	0.000	0
104130	0.000	0.000	0.000	0.012	3
104129	0.000	0.000	0.000	0.010	2
104122	0.000	0.000	0.000	0.006	2
104121	0.000	0.000	0.000	0.000	0
104120	0.000	0.000	0.000	0.000	0
104117	0.000	0.000	0.000	0.037	2
104116	0.000	0.000	0.000	0.000	0
104115	0.000	0.000	0.000	0.012	1
104114	0.000	0.000	0.000	0.004	1
104113	0.000	0.000	0.000	0.001	0
104111	0.000	0.000	0.000	0.008	2
104101	0.000	0.000	0.000	0.000	0
104099	0.000	0.000	0.000	0.049	1
104097	0.000	0.000	0.000	0.000	0
104093	0.000	0.000	0.000	0.000	0
104091	0.000	0.000	0.000	0.000	0
104088	0.000	0.000	0.000	0.001	0
104084	0.000	0.000	0.000	0.021	2
104083	0.000	0.000	0.000	0.011	3
104082	0.000	0.000	0.000	0.000	0
104081	0.000	0.000	0.000	0.001	0
104075	0.000	0.000	0.000	0.003	1
104074	0.000	0.000	0.000	0.001	0
104072	0.000	0.000	0.000	0.000	0
104071	0.000	0.000	0.000	0.056	6
104069	0.000	0.000	0.000	0.000	0
104066	0.000	0.000	0.000	0.000	0
104063	0.000	0.000	0.000	0.001	0
104061	0.000	0.000	0.000	0.002	0
104060	0.000	0.000	0.000	0.000	0
104059	0.000	0.000	0.000	0.008	1
104056	0.000	0.000	0.000	0.000	0
104054	0.000	0.000	0.000	0.000	0
104052	0.000	0.000	0.000	0.004	1
104048	0.000	0.000	0.000	0.000	0
104047	0.000	0.000	0.000	0.002	1
104044	0.000	0.000	0.000	0.001	0
104041	0.000	0.000	0.000	0.010	2
104040	0.000	0.000	0.000	0.000	0
104036	0.000	0.000	0.000	0.000	0
104031	0.000	0.000	0.000	0.000	0
104023	0.000	0.000	0.000	0.000	0
104022	0.000	0.000	0.000	0.004	1
104018	0.000	0.000	0.000	0.000	0
104017	0.000	0.000	0.000	0.002	0
104016	0.000	0.001	0.000	0.510	94
104013	0.000	0.000	0.000	0.000	0
104011	0.000	0.000	0.000	0.000	0
104005	0.000	0.000	0.000	0.016	1
104003	0.000	0.000	0.000	0.000	0
104001	0.000	0.000	0.000	0.000	0
104000	0.000	0.000	0.000	0.012	1
103987	0.000	0.000	0.000	0.115	4
103983	0.000	0.000	0.000	0.000	0
103982	0.000	0.000	0.000	0.000	0
103978	0.000	0.000	0.000	0.000	0
103974	0.000	0.000	0.000	0.000	0
103973	0.000	0.000	0.000	0.004	1
103971	0.000	0.000	0.000	0.003	1
103968	0.000	0.000	0.000	0.000	0
103966	0.000	0.000	0.000	0.003	1
103963	0.000	0.000	0.000	0.003	0
103958	0.000	0.000	0.000	0.003	1
103957	0.000	0.000	0.000	0.000	0
103950	0.000	0.000	0.000	0.004	1
103949	0.000	0.000	0.000	0.020	2
103946	0.000	0.000	0.000	0.000	0
103945	0.000	0.000	0.000	0.000	0
103942	0.000	0.000	0.000	0.001	0
103940	0.000	0.000	0.000	0.005	1
103939	0.000	0.000	0.000	0.000	0
103937	0.000	0.001	0.000	0.618	14
103933	0.000	0.001	0.000	0.199	5
103928	0.000	0.000	0.000	0.000	0
103923	0.000	0.000	0.000	0.000	0
103921	0.000	0.000	0.000	0.030	2
103920	0.000	0.000	0.000	0.000	0
103917	0.000	0.000	0.000	0.000	0
103915	0.000	0.000	0.000	0.000	0
103913	0.000	0.000	0.000	0.000	0
103910	0.000	0.000	0.000	0.000	0
103908	0.000	0.000	0.000	0.001	0
103906	0.000	0.000	0.000	0.000	0
103903	0.000	0.000	0.000	0.006	2
103902	0.000	0.000	0.000	0.000	0
103900	0.000	0.000	0.000	0.000	0
103899	0.000	0.000	0.000	0.302	11
103897	0.000	0.000	0.000	0.000	0
103896	0.000	0.000	0.000	0.000	0
103894	0.000	0.000	0.000	0.000	0
103891	0.000	0.000	0.000	0.184	8
103886	0.000	0.000	0.000	0.017	1
103885	0.000	0.000	0.000	0.000	0
103876	0.000	0.000	0.000	0.376	56
103875	0.000	0.000	0.000	0.009	1
103874	0.000	0.000	0.000	0.002	0
103873	0.000	0.000	0.000	0.000	0
103872	0.000	0.000	0.000	0.001	0
103870	0.000	0.000	0.000	0.000	0
103865	0.000	0.000	0.000	0.000	0
103864	0.000	0.000	0.000	0.000	0
103863	0.000	0.000	0.000	0.000	0
103862	0.000	0.000	0.000	0.000	0
103861	0.000	0.000	0.000	0.000	0
103860	0.000	0.000	0.000	0.013	3
103852	0.000	0.000	0.000	0.017	2
103851	0.000	0.000	0.000	0.000	0
103848	0.000	0.000	0.000	0.000	0
103847	0.000	0.000	0.000	0.000	0
103844	0.000	0.000	0.000	0.003	1
103831	0.000	0.000	0.000	0.003	1
103830	0.000	0.000	0.000	0.000	0
103825	0.000	0.000	0.000	0.000	0
103823	0.000	0.000	0.000	0.000	0
103822	0.000	0.000	0.000	0.001	0
103798	0.000	0.000	0.000	0.000	0
103796	0.000	0.001	0.000	0.767	50
103789	0.000	0.000	0.000	0.004	1
103787	0.000	0.000	0.000	0.000	0
103784	0.000	0.000	0.000	0.000	0
103772	0.000	0.000	0.000	0.000	0
103768	0.000	0.000	0.000	0.000	0
103757	0.000	0.000	0.000	0.010	3
103755	0.000	0.000	0.000	0.001	0
103750	0.000	0.000	0.000	0.004	1
103742	0.000	0.000	0.000	0.044	10
103741	0.000	0.000	0.000	0.016	1
103740	0.000	0.001	0.000	0.479	6
103739	0.000	0.000	0.000	0.000	0
103732	0.000	0.000	0.000	0.000	0
103727	0.000	0.007	0.000	6.086	106
103726	0.000	0.000	0.000	0.000	0
103720	0.000	0.000	0.000	0.000	0
103718	0.000	0.000	0.000	0.001	0
103717	0.000	0.000	0.000	0.002	0
103707	0.000	0.000	0.000	0.000	0
103702	0.000	0.000	0.000	0.132	17
103701	0.000	0.000	0.000	0.004	0
103700	0.000	0.000	0.000	0.000	0
103699	0.000	0.000	0.000	0.000	0
103698	0.000	0.000	0.000	0.000	0
103696	0.000	0.000	0.000	0.000	0
103695	0.000	0.001	0.000	0.974	45
103694	0.000	0.000	0.000	0.110	8
103693	0.000	0.000	0.000	0.137	2
103692	0.000	0.000	0.000	0.000	0
103688	0.000	0.000	0.000	0.000	0
103686	0.000	0.000	0.000	0.228	20
103685	0.000	0.000	0.000	0.000	0
103684	0.000	0.000	0.000	0.005	1
103683	0.000	0.000	0.000	0.192	7
103682	0.000	0.000	0.000	0.029	2
103681	0.000	0.022	0.000	16.454	83
103676	0.000	0.000	0.000	0.000	0
103673	0.000	0.000	0.000	0.002	0
103658	0.000	0.000	0.000	0.000	0
103657	0.000	0.000	0.000	0.000	0
103656	0.000	0.005	0.000	3.877	172
103598	0.000	0.000	0.000	0.010	1
103508	0.000	0.000	0.000	0.001	0
103486	0.000	0.000	0.000	0.001	0
103481	0.000	0.000	0.000	0.056	7
103452	0.000	0.000	0.000	0.000	0
103418	0.000	0.000	0.000	0.000	0
103417	0.000	0.000	0.000	0.001	0
103410	0.000	0.000	0.000	0.000	0
103409	0.000	0.000	0.000	0.001	0
103392	0.000	0.000	0.000	0.000	0
103370	0.000	0.000	0.000	0.000	0
103368	0.000	0.000	0.000	0.000	0
103364	0.000	0.000	0.000	0.000	0
103352	0.000	0.000	0.000	0.000	0
103351	0.000	0.000	0.000	0.000	0
103347	0.000	0.000	0.000	0.000	0
103345	0.000	0.000	0.000	0.000	0
103342	0.000	0.000	0.000	0.000	0
103339	0.000	0.000	0.000	0.000	0
103336	0.000	0.000	0.000	0.000	0
103335	0.000	0.000	0.000	0.032	6
103328	0.000	0.000	0.000	0.000	0
103326	0.000	0.000	0.000	0.105	1
103324	0.000	0.000	0.000	0.000	0
103323	0.000	0.000	0.000	0.001	0
103316	0.000	0.000	0.000	0.001	0
103315	0.000	0.000	0.000	0.000	0
103308	0.000	0.000	0.000	0.000	0
103306	0.000	0.000	0.000	0.004	1
103304	0.000	0.000	0.000	0.007	1
103303	0.000	0.000	0.000	0.001	0
103299	0.000	0.000	0.000	0.000	0
103298	0.000	0.000	0.000	0.011	1
103297	0.000	0.000	0.000	0.000	0
103293	0.000	0.000	0.000	0.001	0
103281	0.000	0.000	0.000	0.000	0
103279	0.000	0.000	0.000	0.001	0
103276	0.000	0.000	0.000	0.000	0
103275	0.000	0.000	0.000	0.000	0
103274	0.000	0.000	0.000	0.000	0
103266	0.000	0.000	0.000	0.000	0
103261	0.000	0.000	0.000	0.000	0
103260	0.000	0.000	0.000	0.000	0
103259	0.000	0.000	0.000	0.009	2
103252	0.000	0.000	0.000	0.004	0
103250	0.000	0.000	0.000	0.000	0
103244	0.000	0.000	0.000	0.000	0
103242	0.000	0.000	0.000	0.000	0
103240	0.000	0.000	0.000	0.000	0
103238	0.000	0.000	0.000	0.006	1
103237	0.000	0.000	0.000	0.001	0
103234	0.000	0.000	0.000	0.000	0
103232	0.000	0.000	0.000	0.019	2
103231	0.000	0.000	0.000	0.000	0
103228	0.000	0.000	0.000	0.000	0
103227	0.000	0.000	0.000	0.000	0
103226	0.000	0.000	0.000	0.000	0
103225	0.000	0.000	0.000	0.000	0
103224	0.000	0.000	0.000	0.038	8
103217	0.000	0.000	0.000	0.012	1
103215	0.000	0.000	0.000	0.017	2
103211	0.000	0.000	0.000	0.001	0
103210	0.000	0.000	0.000	0.001	0
103209	0.000	0.000	0.000	0.000	0
103199	0.000	0.000	0.000	0.002	0
103192	0.000	0.000	0.000	0.000	0
103191	0.000	0.000	0.000	0.000	0
103190	0.000	0.000	0.000	0.000	0
103188	0.000	0.000	0.000	0.040	3
103185	0.000	0.000	0.000	0.000	0
103183	0.000	0.000	0.000	0.000	0
103181	0.000	0.000	0.000	0.000	0
103180	0.000	0.000	0.000	0.000	0
103175	0.000	0.000	0.000	0.000	0
103174	0.000	0.000	0.000	0.000	0
103173	0.000	0.000	0.000	0.000	0
103168	0.000	0.000	0.000	0.000	0
103167	0.000	0.000	0.000	0.000	0
103166	0.000	0.000	0.000	0.246	13
103157	0.000	0.000	0.000	0.000	0
103151	0.000	0.000	0.000	0.043	6
103150	0.000	0.000	0.000	0.025	4
103146	0.000	0.000	0.000	0.000	0
103141	0.000	0.001	0.000	0.856	75
103134	0.000	0.000	0.000	0.000	0
103126	0.000	0.000	0.000	0.000	0
103122	0.000	0.000	0.000	0.000	0
103120	0.000	0.000	0.000	0.062	9
103117	0.000	0.005	0.000	4.253	84
103113	0.000	0.000	0.000	0.000	0
103109	0.000	0.000	0.000	0.000	0
103108	0.000	0.000	0.000	0.000	0
103107	0.000	0.000	0.000	0.000	0
103101	0.000	0.000	0.000	0.000	0
103096	0.000	0.000	0.000	0.000	0
103094	0.000	0.000	0.000	0.000	0
103093	0.000	0.000	0.000	0.000	0
103088	0.000	0.000	0.000	0.000	0
103087	0.000	0.000	0.000	0.013	1
103083	0.000	0.000	0.000	0.000	0
103081	0.000	0.000	0.000	0.000	0
103080	0.000	0.000	0.000	0.000	0
103079	0.000	0.000	0.000	0.000	0
103077	0.000	0.000	0.000	0.015	1
103075	0.000	0.000	0.000	0.000	0
103074	0.000	0.000	0.000	0.000	0
103073	0.000	0.000	0.000	0.000	0
103071	0.000	0.000	0.000	0.000	0
103070	0.000	0.000	0.000	0.003	1
103067	0.000	0.000	0.000	0.000	0
103066	0.000	0.000	0.000	0.000	0
103065	0.000	0.000	0.000	0.000	0
103062	0.000	0.000	0.000	0.000	0
103053	0.000	0.000	0.000	0.000	0
103052	0.000	0.000	0.000	0.000	0
103051	0.000	0.000	0.000	0.000	0
103050	0.000	0.000	0.000	0.000	0
103049	0.000	0.000	0.000	0.001	0
103047	0.000	0.000	0.000	0.000	0
103046	0.000	0.000	0.000	0.000	0
103045	0.000	0.000	0.000	0.000	0
103044	0.000	0.000	0.000	0.000	0
103043	0.000	0.000	0.000	0.000	0
103041	0.000	0.000	0.000	0.000	0
103040	0.000	0.000	0.000	0.000	0
103039	0.000	0.000	0.000	0.000	0
103038	0.000	0.000	0.000	0.000	0
103037	0.000	0.000	0.000	0.000	0
103036	0.000	0.000	0.000	0.000	0
103034	0.000	0.000	0.000	0.000	0
103033	0.000	0.000	0.000	0.000	0
103032	0.000	0.000	0.000	0.000	0
103031	0.000	0.000	0.000	0.000	0
103030	0.000	0.000	0.000	0.000	0
103029	0.000	0.000	0.000	0.000	0
103026	0.000	0.000	0.000	0.000	0
103025	0.000	0.000	0.000	0.000	0
103024	0.000	0.000	0.000	0.000	0
103022	0.000	0.000	0.000	0.006	1
103020	0.000	0.000	0.000	0.000	0
103011	0.000	0.000	0.000	0.000	0
103007	0.000	0.000	0.000	0.000	0
103006	0.000	0.000	0.000	0.000	0
103002	0.000	0.000	0.000	0.004	1
102995	0.000	0.000	0.000	0.000	0
102993	0.000	0.000	0.000	0.013	2
102992	0.000	0.000	0.000	0.000	0
102991	0.000	0.000	0.000	0.000	0
102990	0.000	0.000	0.000	0.000	0
102989	0.000	0.000	0.000	0.007	2
102985	0.000	0.000	0.000	0.014	2
102982	0.000	0.000	0.000	0.000	0
102981	0.000	0.000	0.000	0.000	0
102979	0.000	0.000	0.000	0.002	0
102978	0.000	0.000	0.000	0.000	0
102971	0.000	0.000	0.000	0.000	0
102970	0.000	0.000	0.000	0.000	0
102968	0.000	0.000	0.000	0.000	0
102962	0.000	0.000	0.000	0.000	0
102961	0.000	0.000	0.000	0.000	0
102958	0.000	0.000	0.000	0.000	0
102957	0.000	0.000	0.000	0.001	0
102955	0.000	0.000	0.000	0.006	1
102954	0.000	0.000	0.000	0.004	1
102953	0.000	0.000	0.000	0.037	6
102949	0.000	0.000	0.000	0.008	2
102948	0.000	0.000	0.000	0.000	0
102947	0.000	0.000	0.000	0.000	0
102946	0.000	0.000	0.000	0.001	0
102945	0.000	0.003	0.000	2.617	149
102944	0.000	0.000	0.000	0.062	14
102943	0.000	0.000	0.000	0.000	0
102941	0.000	0.000	0.000	0.000	0
102936	0.000	0.000	0.000	0.000	0
102932	0.000	0.000	0.000	0.000	0
102931	0.000	0.000	0.000	0.000	0
102929	0.000	0.000	0.000	0.000	0
102928	0.000	0.000	0.000	0.000	0
102927	0.000	0.000	0.000	0.000	0
102926	0.000	0.000	0.000	0.049	7
102923	0.000	0.000	0.000	0.000	0
102921	0.000	0.000	0.000	0.000	0
102919	0.000	0.000	0.000	0.000	0
102918	0.000	0.000	0.000	0.000	0
102916	0.000	0.000	0.000	0.000	0
102915	0.000	0.000	0.000	0.000	0
102911	0.000	0.000	0.000	0.000	0
102903	0.000	0.001	0.000	0.561	20
102899	0.000	0.000	0.000	0.000	0
102897	0.000	0.000	0.000	0.121	16
102896	0.000	0.000	0.000	0.094	11
102894	0.000	0.000	0.000	0.001	0
102893	0.000	0.000	0.000	0.000	0
102891	0.000	0.000	0.000	0.000	0
102890	0.000	0.000	0.000	0.000	0
102887	0.000	0.000	0.000	0.000	0
102882	0.000	0.000	0.000	0.011	2
102876	0.000	0.000	0.000	0.069	8
102872	0.000	0.000	0.000	0.000	0
102871	0.000	0.000	0.000	0.000	0
102869	0.000	0.000	0.000	0.000	0
102866	0.000	0.000	0.000	0.000	0
102865	0.000	0.000	0.000	0.000	0
102864	0.000	0.000	0.000	0.000	0
102860	0.000	0.000	0.000	0.000	0
102859	0.000	0.000	0.000	0.000	0
102858	0.000	0.000	0.000	0.000	0
102856	0.000	0.000	0.000	0.000	0
102855	0.000	0.000	0.000	0.000	0
102853	0.000	0.000	0.000	0.000	0
102852	0.000	0.000	0.000	0.000	0
102851	0.000	0.000	0.000	0.000	0
102850	0.000	0.000	0.000	0.000	0
102849	0.000	0.000	0.000	0.000	0
102847	0.000	0.000	0.000	0.000	0
102844	0.000	0.000	0.000	0.000	0
102843	0.000	0.000	0.000	0.003	0
102840	0.000	0.000	0.000	0.000	0
102839	0.000	0.000	0.000	0.000	0
102838	0.000	0.000	0.000	0.000	0
102834	0.000	0.000	0.000	0.000	0
102830	0.000	0.000	0.000	0.000	0
102826	0.000	0.000	0.000	0.000	0
102824	0.000	0.000	0.000	0.000	0
102821	0.000	0.000	0.000	0.018	4
102820	0.000	0.000	0.000	0.000	0
102819	0.000	0.000	0.000	0.000	0
102816	0.000	0.000	0.000	0.000	0
102811	0.000	0.000	0.000	0.000	0
102809	0.000	0.000	0.000	0.000	0
102794	0.000	0.000	0.000	0.007	1
102792	0.000	0.000	0.000	0.000	0
102784	0.000	0.000	0.000	0.003	0
102780	0.000	0.000	0.000	0.003	0
102779	0.000	0.001	0.000	0.716	118
102776	0.000	0.000	0.000	0.010	2
102775	0.000	0.000	0.000	0.000	0
102773	0.000	0.000	0.000	0.018	5
102772	0.000	0.000	0.000	0.001	0
102770	0.000	0.000	0.000	0.000	0
102767	0.000	0.000	0.000	0.000	0
102766	0.000	0.000	0.000	0.000	0
102765	0.000	0.000	0.000	0.000	0
102764	0.000	0.000	0.000	0.000	0
102763	0.000	0.000	0.000	0.000	0
102760	0.000	0.000	0.000	0.000	0
102759	0.000	0.000	0.000	0.000	0
102757	0.000	0.000	0.000	0.000	0
102755	0.000	0.000	0.000	0.000	0
102754	0.000	0.000	0.000	0.000	0
102752	0.000	0.000	0.000	0.000	0
102751	0.000	0.000	0.000	0.000	0
102750	0.000	0.000	0.000	0.000	0
102749	0.000	0.000	0.000	0.000	0
102748	0.000	0.000	0.000	0.000	0
102747	0.000	0.000	0.000	0.000	0
102746	0.000	0.000	0.000	0.000	0
102745	0.000	0.000	0.000	0.000	0
102744	0.000	0.000	0.000	0.000	0
102743	0.000	0.000	0.000	0.000	0
102742	0.000	0.000	0.000	0.000	0
102741	0.000	0.000	0.000	0.000	0
102740	0.000	0.000	0.000	0.000	0
102739	0.000	0.000	0.000	0.000	0
102735	0.000	0.000	0.000	0.000	0
102734	0.000	0.000	0.000	0.000	0
102733	0.000	0.000	0.000	0.000	0
102732	0.000	0.000	0.000	0.000	0
102731	0.000	0.000	0.000	0.000	0
102730	0.000	0.000	0.000	0.000	0
102729	0.000	0.000	0.000	0.000	0
102728	0.000	0.000	0.000	0.000	0
102727	0.000	0.000	0.000	0.014	2
102726	0.000	0.000	0.000	0.004	0
102724	0.000	0.000	0.000	0.003	1
102723	0.000	0.000	0.000	0.001	0
102720	0.000	0.000	0.000	0.142	7
102718	0.000	0.000	0.000	0.000	0
102717	0.000	0.000	0.000	0.000	0
102715	0.000	0.000	0.000	0.065	10
102714	0.000	0.000	0.000	0.000	0
102712	0.000	0.000	0.000	0.008	2
102711	0.000	0.000	0.000	0.001	0
102710	0.000	0.000	0.000	0.013	2
102708	0.000	0.000	0.000	0.001	0
102707	0.000	0.000	0.000	0.000	0
102704	0.000	0.000	0.000	0.002	0
102697	0.000	0.000	0.000	0.001	0
102694	0.000	0.000	0.000	0.000	0
102692	0.000	0.000	0.000	0.000	0
102691	0.000	0.000	0.000	0.001	0
102690	0.000	0.000	0.000	0.000	0
102689	0.000	0.000	0.000	0.005	1
102687	0.000	0.000	0.000	0.002	0
102684	0.000	0.002	0.000	1.474	113
102682	0.000	0.000	0.000	0.017	3
102681	0.000	0.000	0.000	0.000	0
102677	0.000	0.000	0.000	0.000	0
102673	0.000	0.000	0.000	0.001	0
102672	0.000	0.000	0.000	0.000	0
102670	0.000	0.000	0.000	0.000	0
102659	0.000	0.000	0.000	0.000	0
102651	0.000	0.000	0.000	0.006	1
102646	0.000	0.000	0.000	0.000	0
102645	0.000	0.000	0.000	0.000	0
102642	0.000	0.000	0.000	0.000	0
102641	0.000	0.000	0.000	0.007	2
102640	0.000	0.005	0.000	1.099	50
